AuthorID	Author_Name
1345363310	Andrei Jorza
1352069797	Ravi Kalhan
1359354733	Robert Haimovici
1361596660	Frank J LoRusso
1362030420	A. I. Pavlinov
1365725383	Joseph L. Wooden
1371596663	Ian G. Jamieson
1379758712	Durhane Wong-Rieger
1395449536	Dean Eliott
1409062625	Michal Lubomski
1409416296	Peter J. Sabo
1414716770	W. K. Hayman
1429313028	Gayla S. Domke
1430392686	Xianghong Arakaki
1436375968	Yannick Saouter
1436892839	Yoshiharu Kohayakawa
1437833432	Ralph W. Fuhrhop
1445090915	Mirna Džamonja
1445765070	S. K. Nderitu
1446804731	Tatiana Klioutchnikova
1448242549	Yael Niv
1451601657	Olca Basturk
1461085921	Jamie E. Elsila
1462617615	Sreenath Ramanath
1464712758	Paolo Nobili
1465018178	Andrew Copas
1465509280	Oswaldo Lorenzo-Betancor
1466386734	Alexandru Zaharescu
1470835395	Stavros D. Nikolopoulos
1474911083	Fabian Grubert
1480859229	Gerhard van Dijkhuizen
1484243574	Krishnarajah Nirantharakumar
1491353611	Vasileios Iliopoulos
1492783050	William C. Waterhouse
1493674592	Aruna Dharmasena
1496452849	C. J. Flacco
1497467076	Martin Bornhaeuser
1497819724	Keld Helsgaun
1500296550	John Brillhart
1508082089	Ruth M. Empson
1511185561	Laura Camoni
1511383919	Andreas Karydis
1516696691	Frank de Zeeuw
1525074936	Joshua D. Laison
1528375269	Heather Borick
1530547848	Eduardo Eyras
1533100541	José Felipe Voloch
1537110567	Evgeni Vlaev
1542332155	Manu Basavaraju
1549901282	Theodore S. Motzkin
1552760634	Ivan Niven
1557954416	Michael J. Pishvaian
1558175941	E. Yu. Backhaus
1561288224	Papak Nabipay
1563568675	Wolf-Jürgen Beyn
1566347147	Christoph Buchheim
1567364983	Concetta Cuozzo
1571281551	Lipman Bers
1576192541	R. Kacmaz
1577011523	Romain Letourneur
1585604266	Maria Teresa Guasti
1585675334	Andreas F. Holmsen
1585835447	Patcharee Lertrit
1586757767	Ole Hertel
1591888372	Gayvelline C. Calacal
1595604728	Kevin F. McCardle
1596986880	Alexander Magazinov
1599689862	Nicolas Duployez
1600970194	Alexander J. van der Horst
1602073933	Marc W. Caffee
1609061831	Harry M. Walborsky
1610167835	Mark E. Hauber
1618643994	Yves St-Pierre
1626291812	Ramana Madupu
1630454779	Thierry Zeyen
1637397657	Richard J. Winzler
1638546807	Akin Tanatmis
1645593336	Mickaël Montassier
1646480596	Kaoru Kurosawa
1650240411	Fredi Kronenberg
1655076310	Lajos Soukup
1658448750	Richard Umstätter
1662576673	Andrey Soukharev
1667370716	Rob Kreulen
1680752865	Marisa Magennis
1682269568	Herman Gershon
1682717531	B. Ruckert
1688301802	Andreas Wollenberg
1693843534	Jerzy Neyman
1695081715	Annamaria Nosari
1699669907	Miroslav Bačák
1700797752	Peter I. Nabelek
1703168446	Perouz Taslakian
1704974315	Karthik Venkatakrishnan
1710007007	Robin Santra
1710794599	Ian Maidment
1716930021	Michael A. Demetriou
1721148065	Abraham Neyman
1722100321	Stephen Arnovitz
1740706913	Ehud Razin
1741038549	Dilşad Mungan
1741064756	Emanuele Azzoni
1743086358	Aviezri S. Fraenkel
1748639376	T. S. Bolis
1750905350	László Babai
1754224317	John Sinkovic
1757872706	Marianthi Tsitlaidou
1757946617	W. Bardan
1759126459	Yitzhak Katznelson
1759296583	Hershy Kisilevsky
1762877445	Francis Kiweewa
1765148148	M. S. Klamkin
1765977936	Brooke Orosz
1769456863	Zsolt Tuza
1771679087	Bernadette Rogé
1773648016	John Mitchem
1774428857	Harold I. Palevsky
1776612949	Ron M. A. Heeren
1776861028	George Tadros
1777806599	Sylvie Granon
1782310768	Renata R. Del-Vecchio
1788483167	Konstantinos Chiotis
1789056066	Anake Kijjoa
1794469724	Keith Ellul
1795595409	Lucy H. Jackson-Jones
1797247040	Cyrus Derman
1799895078	Sophie Dobbelstein
1800452099	Douglas S. Smink
1801822537	Shubha Bagrodia
1803699523	Daniel Pérusse
1804464080	Alfréd Rényi
1805061495	Margherita Santoriello
1808512580	Willem van Straten
1809048617	Thomas L. Magnanti
1812140532	Sem Borst
1813534081	D. de Caen
1814020451	Benito Marcote
1817491332	G. Lutters
1819622497	Frank Siwiec
1819726261	Géza Freud
1820705074	N. Natasha
1821976253	Edwin van Dam
1822561389	Philippe Gaubert
1822589047	Thomas R. Barrick
1824751186	Paweł Kurzyński
1825094314	Phong Châu
1826213504	Lourdes Escoda
1827388506	Geoffrey Grimmett
1827472562	L. Todor
1829044231	Donald H. Hyers
1830943412	Esa Järvenpää
1831210302	Thomas Graf
1831276977	Babak B. Navi
1831491922	Tom Wingfield
1832853709	Humberto Naves
1834970599	Raphaël Danchin
1835479220	Grazia Luparello
1836587477	Hari Subramoni
1837097187	Vikas Khetan
1838074736	Olivier Verdier
1841136142	G. Shaifullah
1843529596	Juraj Stacho
1843571100	Ranjita Bhagwan
1844870196	Earl Berkson
1846299453	Kevin J. Compton
1847908103	Zohar Habot-Wilner
1848193485	Mathias Beiglböck
1849715284	Maria Helena Bezerra Maia de Hollanda
1850858340	Yamine Ait-Ameur
1851255585	Sandi Klavžar
1851966634	Danen Cunoosamy
1853054326	László Losonczi
1856335088	Pawel Miotla
1856675478	Niklas Luhmann
1858505345	Brian M. Haus
1860634673	Michael Chandler
1861387778	Eva Kirkhus
1862161007	G. Aerts
1864419187	Malcolm C. Pike
1865991651	Mark Dowsett
1867512472	R. Darawsha
1868814121	Jeffrey Peppercorn
1868961670	Oved Shisha
1870216704	Matthias Elstner
1870307126	Frank Neven
1870602045	Yannis Manoussakis
1870729265	Klaus Tatsch
1873439000	Gregory M. Lanza
1874579918	Yossi Matias
1877252137	M. Sonehara
1877360026	F. Delmer
1880079909	Stefano Benati
1882513945	Gábor Tardos
1882886235	Steven Rudich
1884058422	M. Razzano
1885082087	Linda Mustelin
1888366097	Gunnar Houge
1889561481	Lipman Bers
1889730562	Michael G. Kaplitt
1890959634	Victoria Powers
1892042148	János Kollár
1892279324	Emanuele Dalessandro
1893209420	Matt Weisinger
1893211802	Emma Lehmer
1895097539	Piotr Micek
1895332748	Étienne Fouvry
1895769336	Csaba Andras Moritz
1895988807	Hamid Dolatshad
1897728555	Joanna Polcyn
1898333175	Andrzej Korzeniowski
1898954174	Volker Rehbock
1899918099	Shlomo Hoory
1901833735	Marly Babinski
1904591894	Raphael Itzykson
1905246257	Larry Hoehn
1905298633	B. Weisfeiler
1905471930	Emily Rauscher
1906510261	Ariel Schlaen
1907093227	Douglas P. Finkbeiner
1908058193	Konstantinos Georgiou
1908264853	Steven J. Isakoff
1908891197	Christopher J. Lingle
1909251510	Kazumi Kashiyama
1909677109	Robert Baillie
1910518692	Javier Praena
1910770511	Maria Manfrin
1910989393	K. V. Dharmawardane
1911537385	Santina Rocchi
1912261928	Kurt Mahler
1913332324	Charles A. Micchelli
1915518709	Bruno Fournel
1915937459	Victoria C. Bennett
1917105708	Lawrence D. Meinert
1917333383	Euthalia Roussou
1917709819	Wayne Barrett
1918186802	Cheryl A. Arcinue
1918957885	D. V. Widder
1919079427	Brian Madow
1920634653	James J. Papike
1920812641	A. Shadkam
1920976855	Viacheslav Grishukhin
1921237822	Casper Goffman
1921500215	Paul Bowness
1923216076	Vincenzo Mancuso
1923669864	Theodore J. Rivlin
1925556812	Albert Nijenhuis
1926546944	Massimo Coltorti
1926915831	Leonard T. Kurland
1929417407	Mohammad Ahmadpanah
1929622773	Johannes H. Hattingh
1930587437	Oliver Braun
1930767601	Bill Mance
1930867258	David J. Galas
1931220240	Beverly L. Brechner
1931304579	Andrew Scourfield
1932992192	Daniel Zlott
1933432721	Jens Kuhle
1933944341	Edwin F. Beckenbach
1934574055	Isabelle Mantella
1935384884	Jun Kinoshita
1935857571	Jan Hladký
1936323308	B. Vernarsky
1937837554	Charles T. Salkind
1938535304	Takashi Agoh
1938648379	Emilia Leogrande
1939611678	Jacques Monod
1939626589	J. Schwiening
1940020699	J. Ashby
1940624547	Raymond E. Arvidson
1940744639	Valeria Gerloni
1941919794	Jean-Marc Deshouillers
1943361873	Colton Magnant
1943902152	Carsten Thomassen
1944301143	Mahdad Khatirinejad
1945594002	Roberta L. Rudnick
1946239598	Sándor Szabó
1946302330	William F. Klostermeyer
1947084394	Peter J. Cameron
1947284307	Bojan Golli
1947667200	S. E. Hollitt
1948294723	Pierre Sansjofre
1948942009	Tamás Csermely
1950190900	Vicentiu Pasol
1952447852	Mehrdad Nojoumian
1952710631	John A. DeSanto
1952758396	Tobias Frederico
1953072966	Frank A. Podosek
1954163340	Haruo Hosoya
1954669004	Henry Scheffe
1954678690	F. Niedercorn
1955322649	Maryam Moteabbed
1955771017	Borja Mora-Peris
1956057443	Vilmos Komornik
1956946536	Nigel Kirkpatrick
